Project_ID,Project_Name,Project_Type,Scope_Complexity,Estimated_Cost_USD,Resource_Allocation_Score,Risk_Assessment_Score,Environmental_Impact_Score,Historical_Cost_Deviation_%,Stakeholder_Priority_Score,Time_Estimate_Days,Feasibility_Label,Scope_Complexity_Numeric
P0001,Urban Flyover,Road,Medium,2692743,57,68,69,0.0,0.5,268,Feasible,2
P0002,Urban Flyover,Road,Medium,5304572,51,38,22,1.69,0.68,375,Feasible,2
P0003,Industrial Complex,Road,High,5926484,90,50,62,0.3,0.62,219,Not Feasible,3
P0004,Smart Solar Grid,Road,Medium,3234489,95,58,76,3.28,0.53,174,Borderline,2
P0005,Smart Solar Grid,Building,High,2570006,71,62,69,9.08,0.59,305,Not Feasible,3
P0006,Smart Solar Grid,Bridge,High,2136074,90,91,87,0.97,0.56,439,Feasible,3
P0007,Urban Flyover,Building,Low,5044887,65,44,69,6.06,0.96,205,Borderline,1
P0008,Highway Expansion,Power Plant,Low,2239911,78,31,56,4.51,0.57,293,Not Feasible,1
P0009,Urban Flyover,Road,High,5472471,98,81,65,9.38,0.77,587,Feasible,3
P0010,Highway Expansion,Road,High,3138242,97,73,61,1.23,0.8,141,Feasible,3
P0011,Dam Reinforcement,Road,Low,5523669,79,83,34,2.12,0.77,363,Feasible,1
P0012,Urban Flyover,Power Plant,High,5981505,61,47,52,0.3,0.55,179,Feasible,3
P0013,Urban Flyover,Water Infra,High,6564759,84,32,99,4.34,0.66,223,Feasible,3
P0014,Urban Flyover,Building,High,2766891,60,36,30,2.78,0.53,258,Feasible,3
P0015,Smart Solar Grid,Bridge,Medium,5521373,95,72,39,8.7,0.7,422,Not Feasible,2
P0016,Smart Solar Grid,Power Plant,Low,4344769,99,67,43,6.05,0.59,278,Feasible,1
P0017,Highway Expansion,Water Infra,High,1791743,70,66,83,6.14,0.78,351,Feasible,3
P0018,Highway Expansion,Water Infra,High,1103355,70,87,99,5.32,0.85,196,Not Feasible,3
P0019,Urban Flyover,Bridge,Medium,2262752,54,62,84,0.92,0.77,137,Feasible,2
P0020,Highway Expansion,Power Plant,Medium,2396025,97,88,92,4.45,0.72,141,Feasible,2
P0021,Smart Solar Grid,Water Infra,High,6664789,69,40,95,10.0,0.69,303,Not Feasible,3
P0022,Highway Expansion,Road,Low,6183740,86,97,36,8.35,0.92,264,Feasible,1
P0023,Dam Reinforcement,Bridge,Medium,2307371,52,97,80,8.93,0.61,157,Feasible,2
P0024,Smart Solar Grid,Road,Low,1917040,93,51,34,8.23,0.87,400,Not Feasible,1
P0025,Dam Reinforcement,Bridge,Medium,6743066,82,95,70,1.03,0.88,407,Feasible,2
P0026,Highway Expansion,Building,Medium,3253882,58,73,46,2.27,0.71,262,Feasible,2
P0027,Industrial Complex,Building,Low,4530409,58,35,93,0.03,0.65,132,Feasible,1
P0028,Urban Flyover,Power Plant,High,5849115,53,71,80,3.04,0.74,305,Borderline,3
P0029,Smart Solar Grid,Water Infra,Low,5721339,84,54,77,1.09,0.55,593,Not Feasible,1
P0030,Dam Reinforcement,Road,High,5842447,66,86,50,4.73,0.52,553,Feasible,3
P0031,Industrial Complex,Water Infra,High,2500942,83,84,31,6.77,0.56,386,Borderline,3
P0032,Industrial Complex,Building,Medium,5260029,73,45,65,8.75,0.59,388,Not Feasible,2
P0033,Smart Solar Grid,Road,Medium,4275709,81,43,50,7.49,0.75,216,Feasible,2
P0034,Smart Solar Grid,Power Plant,Medium,1084654,50,68,51,9.39,0.92,553,Feasible,2
